n,ij,ji
2956,55.27,58.09
2957,55.49,59.72
2958,58.27,62.99
2959,59.84,62.84
2960,56.87,61.35
2961,57.59,60.97
2962,56.54,60.25
2963,56.18,61.02
2964,61.29,63.25
2965,60.36,62.17
2966,60.77,67.75
2967,61.60,66.20
2968,58.34,65.27
2969,57.23,62.28
2970,58.35,63.94
2971,57.93,63.85
2972,57.81,65.91
2973,58.43,64.75
2974,70.37,76.54
2975,70.44,76.61
2976,58.97,66.05
2977,58.84,66.64
2978,59.81,67.63
2979,58.97,67.71
2980,59.21,66.70
2981,59.63,66.42
2982,62.49,69.44
2983,68.53,71.78
2984,65.22,66.99
2985,62.43,68.53
2986,62.23,69.84
2987,63.01,71.73
2988,61.76,66.61
2989,63.70,68.34
2990,67.18,74.77
2991,68.78,73.55
2992,62.55,65.97
2993,62.33,66.73
2994,63.67,70.98
2995,63.35,71.37
2996,61.26,65.34
2997,56.57,59.38
2998,60.94,68.54
2999,61.65,68.64
3000,54.94,56.01
3001,54.98,55.98
3002,57.26,62.55
3003,57.68,62.36
3004,58.36,61.53
3005,58.27,60.31
3006,77.93,81.05
3007,74.70,80.26
3008,59.20,63.28
3009,59.35,61.76
3010,75.56,65.41
3011,61.31,64.73
3012,60.27,64.59
3013,59.48,62.75
3014,62.80,69.02
3015,62.72,68.94
3016,60.27,62.79
3017,60.29,63.71
3018,59.18,62.93
3019,59.12,62.44
3020,59.99,64.32
3021,60.19,64.17
3022,63.51,68.42
3023,62.26,67.97
3024,60.09,65.01
3025,61.21,65.62
3026,59.55,65.30
3027,59.90,66.79
3028,61.49,66.74
3029,61.63,64.76
3030,63.95,70.73
3031,64.48,72.00
3032,61.79,64.78
3033,59.43,63.78
3034,60.55,67.66
3035,60.10,66.88
3036,60.43,65.95
3037,60.25,65.74
3038,72.11,77.37
3039,72.17,78.32
3040,60.37,63.27
3041,60.41,62.24
3042,61.05,66.52
3043,63.06,67.76
3044,61.86,66.81
3045,59.87,70.59
3046,64.47,72.46
3047,64.55,72.04
3048,61.11,69.18
3049,61.00,67.77
3050,60.84,69.75
3051,61.37,69.25
3052,62.09,68.60
3053,61.82,70.03
3054,65.80,81.83
3055,66.24,81.17
3056,59.17,63.86
3057,60.61,65.26
3058,61.33,69.04
3059,60.52,66.67
3060,61.11,67.36
3061,61.13,66.77
3062,63.05,71.81
3063,62.28,72.40
3064,61.34,69.44
3065,63.36,69.47
3066,61.19,70.14
3067,61.82,69.76
3068,60.81,68.42
3069,60.96,69.56
3070,102.46,120.79
3071,102.81,120.59
3072,65.60,67.82
3073,61.17,67.91
3074,61.74,67.81
3075,64.72,67.79
3076,62.03,70.10
3077,62.37,69.67
3078,65.11,71.31
3079,67.90,71.62
3080,75.05,70.46
3081,63.88,69.66
3082,65.91,71.17
3083,62.77,71.47
3084,61.77,68.90
3085,61.87,69.01
3086,67.98,80.02
3087,67.91,79.30
3088,64.92,64.06
3089,65.51,64.95
3090,64.59,69.54
3091,63.25,70.08
3092,63.95,67.97
3093,62.98,68.43
3094,66.20,71.67
3095,66.48,71.96
3096,63.94,67.22
3097,64.90,69.34
3098,64.32,69.13
3099,63.61,70.34
3100,64.83,71.55
3101,64.62,71.31
3102,76.88,82.85
3103,79.53,79.63
3104,65.13,68.71
3105,64.92,70.66
3106,63.63,69.47
3107,63.34,69.17
3108,66.45,70.84
3109,66.62,69.42
3110,68.45,74.06
3111,67.98,74.41
3112,64.81,70.20
3113,64.07,68.45
3114,64.49,69.79
3115,64.89,68.19
3116,63.96,67.90
3117,65.51,70.17
3118,69.68,79.51
3119,70.48,78.31
3120,64.64,68.95
3121,64.61,68.45
3122,65.15,69.53
3123,64.74,70.17
3124,65.10,68.33
