n,add,in
597,0.52,0.30
598,0.92,0.29
599,0.71,0.38
600,0.73,0.26
601,0.46,0.30
602,0.52,0.33
603,0.63,0.24
604,0.54,0.32
605,0.73,0.28
606,0.75,0.75
607,1.12,0.79
608,1.15,0.26
609,0.80,0.36
610,0.85,0.22
611,0.82,1.11
612,0.69,0.22
613,0.67,0.23
614,0.80,0.38
615,0.90,0.35
616,0.68,0.32
617,0.81,0.31
618,0.60,0.33
619,0.81,0.28
620,0.58,0.31
621,1.05,0.30
622,1.34,0.47
623,0.92,0.43
624,1.09,0.34
625,0.77,0.34
626,0.55,0.37
627,0.67,0.25
628,0.96,1.19
629,0.71,0.24
630,1.38,0.38
631,0.73,0.42
632,1.26,0.52
633,0.56,0.36
634,1.66,0.40
635,0.57,0.36
636,0.60,0.35
637,0.72,0.26
638,1.28,1.89
639,1.38,1.49
640,1.08,0.33
641,0.57,0.38
642,0.72,0.41
643,0.80,0.26
644,0.64,0.35
645,0.72,0.32
646,1.94,0.89
647,1.30,0.41
648,0.91,0.28
649,0.62,0.37
650,0.91,0.32
651,0.76,0.28
652,1.17,0.40
653,0.68,0.35
654,1.64,0.54
655,1.34,0.52
656,1.16,0.41
657,0.67,0.37
658,0.81,0.29
659,0.65,0.45
660,0.82,0.29
661,0.63,0.37
662,1.49,0.39
663,0.83,0.46
664,0.94,0.29
665,0.66,0.41
666,0.84,0.29
667,0.78,0.30
668,0.81,0.27
669,0.82,0.37
670,1.15,0.76
671,1.01,0.89
672,0.77,0.26
673,0.67,0.40
674,0.70,0.37
675,0.72,0.39
676,0.72,0.36
677,0.68,0.41
678,0.84,0.49
679,1.09,0.47
680,0.75,0.41
681,0.74,0.33
682,0.84,0.70
683,0.70,0.42
684,0.72,0.42
685,0.78,0.44
686,1.20,0.39
687,1.02,0.47
688,0.79,0.33
689,0.82,0.43
690,0.90,0.30
691,0.70,0.44
692,0.82,0.38
693,0.77,0.40
694,0.99,0.52
695,1.19,0.45
696,0.76,0.45
697,0.95,0.28
698,0.76,0.44
699,0.86,0.28
700,0.81,0.43
701,0.78,0.36
702,1.40,1.23
703,1.55,1.20
704,0.80,0.39
705,0.79,0.45
706,0.84,0.45
707,0.77,0.45
708,0.78,0.43
709,0.75,0.56
710,0.96,0.54
711,1.05,0.43
712,0.83,0.45
713,0.83,0.44
714,0.79,0.48
715,1.61,0.54
716,3.03,1.73
717,1.83,0.94
718,1.85,0.72
719,2.00,0.63
720,1.11,0.42
721,1.62,0.63
722,1.26,0.48
723,1.37,0.62
724,1.56,0.42
725,0.97,0.45
726,1.38,0.43
727,1.56,0.51
728,1.15,0.38
729,1.32,0.36
730,1.08,0.44
731,1.25,0.38
732,1.11,0.37
733,1.26,0.51
734,1.72,0.94
735,1.72,1.05
736,1.23,0.40
737,1.07,0.37
738,1.64,0.48
739,0.90,0.53
740,1.00,0.34
741,1.07,0.38
742,1.41,0.44
743,1.63,0.61
744,2.66,0.48
745,0.98,0.42
746,1.06,0.35
747,1.89,0.53
748,1.84,0.64
749,1.19,0.40
750,1.68,0.56
751,2.58,0.69
752,2.05,0.77
753,2.24,0.96
754,1.94,0.57
755,1.58,0.54
756,1.31,0.43
757,1.41,0.45
758,1.66,0.77
759,1.53,0.55
760,1.13,0.40
