n,ijk,ikj,kij,kji,jki,jik
195,3.95,1.71,1.19,5.57,4.31,0.03
196,4.03,1.89,1.23,4.90,4.33,0.02
197,4.31,1.66,1.22,4.78,4.35,0.02
198,5.86,1.23,1.25,5.10,4.72,0.03
199,4.30,1.79,1.25,5.19,4.93,0.03
200,4.29,1.84,1.20,6.92,4.81,0.03
201,4.53,1.61,1.28,5.02,4.56,0.03
202,4.56,1.81,1.32,5.46,4.84,0.04
203,4.47,1.85,1.35,5.57,5.08,0.03
204,4.62,1.49,1.37,5.56,5.25,0.03
205,4.87,1.54,1.75,5.95,5.13,0.03
206,4.83,1.99,1.40,7.65,7.24,0.04
207,4.97,1.58,1.42,7.84,7.54,0.04
208,7.11,1.65,1.47,5.67,5.74,0.03
209,5.00,1.94,1.43,5.88,5.25,0.03
210,5.18,2.13,1.49,6.14,5.66,0.04
211,5.16,2.16,1.46,6.84,7.65,0.03
212,5.32,1.48,1.58,5.92,5.74,0.04
213,5.40,1.86,1.53,6.23,5.79,0.03
214,5.38,2.49,2.19,7.52,6.19,0.04
215,5.52,2.18,1.54,6.60,5.94,0.03
216,5.45,2.88,2.64,6.26,6.02,0.03
217,5.50,2.10,1.60,7.33,6.42,0.03
218,5.90,2.17,1.64,7.18,6.80,0.05
219,5.62,2.44,1.69,7.24,6.44,0.04
220,5.94,2.44,1.67,7.37,6.78,0.03
221,6.12,2.38,1.67,6.86,6.47,0.03
222,7.95,2.50,1.72,16.86,17.27,0.09
223,8.09,2.29,1.71,17.80,17.70,0.08
224,6.08,1.94,1.76,7.56,7.32,0.04
225,6.57,2.74,1.78,7.71,7.47,0.03
226,6.76,2.78,1.89,8.68,7.62,0.04
227,6.87,2.45,1.87,8.79,7.82,0.04
228,6.80,2.95,1.99,8.09,8.37,0.03
229,6.62,2.78,2.82,7.91,7.36,0.03
230,6.48,2.85,2.35,8.43,9.57,0.07
231,6.65,2.37,2.10,8.40,7.80,0.04
232,6.78,2.85,1.96,8.53,8.17,0.04
233,7.11,1.84,1.95,8.80,8.32,0.04
234,7.72,3.04,2.06,9.45,8.87,0.05
235,7.38,3.20,2.04,9.35,8.27,0.05
236,7.10,2.74,2.10,9.45,8.18,0.04
237,7.25,2.82,2.02,8.47,8.05,0.05
238,7.26,2.74,2.07,13.10,12.64,0.06
239,7.54,2.80,2.08,13.11,12.68,0.06
240,7.49,3.23,2.48,9.21,9.68,0.04
241,7.62,2.86,2.12,9.63,8.76,0.04
242,7.84,3.30,2.20,10.01,9.06,0.05
243,9.29,4.34,2.61,11.59,9.44,0.06
244,7.85,3.25,2.43,9.97,9.72,0.05
245,7.49,3.20,2.29,9.81,9.63,0.04
246,8.43,3.32,2.32,10.67,10.26,0.05
247,8.81,3.50,2.66,11.38,10.09,0.05
248,8.87,3.55,2.56,11.00,10.30,0.05
249,9.46,3.71,2.57,10.10,9.68,0.05
250,8.98,3.40,2.41,11.48,10.51,0.06
251,8.94,3.56,2.38,11.86,10.64,0.05
252,9.28,3.86,2.91,11.17,11.22,0.05
253,10.57,3.64,3.75,11.91,11.08,0.05
254,14.07,4.53,2.53,45.54,42.10,0.17
255,13.22,3.15,3.49,42.02,42.25,0.16
256,10.11,4.35,2.67,11.98,11.66,0.05
257,9.74,3.86,2.55,12.30,13.07,0.06
258,10.06,3.83,2.85,13.35,11.64,0.06
259,9.12,3.92,2.95,14.86,12.89,0.06
260,11.10,3.23,3.59,13.49,13.17,0.05
261,10.79,4.65,2.67,12.21,12.31,0.06
262,10.66,3.74,2.94,13.98,13.32,0.06
263,10.51,4.89,2.82,14.69,12.41,0.07
264,10.30,3.98,3.00,12.93,14.09,0.05
265,10.37,4.18,3.05,12.96,12.20,0.05
266,11.00,3.74,3.10,16.25,15.38,0.09
267,13.53,4.62,4.54,15.10,16.09,0.09
268,12.41,4.35,4.50,15.15,14.60,0.07
269,12.11,4.82,4.01,15.44,15.18,0.06
270,11.36,4.02,3.25,22.50,21.59,0.12
271,11.27,4.59,3.10,22.75,22.04,0.11
272,11.17,4.77,3.29,15.63,14.31,0.07
273,11.76,4.46,3.25,15.40,14.36,0.06
274,12.02,4.47,3.32,16.93,15.07,0.09
275,11.99,4.66,3.45,16.66,14.99,0.08
276,12.12,4.39,4.11,15.98,15.50,0.09
277,12.26,5.13,3.58,16.31,16.71,0.07
278,12.26,4.57,3.45,18.69,17.35,0.12
279,12.20,4.84,3.74,17.14,15.73,0.07
280,12.52,4.98,3.47,17.34,15.91,0.07
281,12.61,5.25,3.48,17.16,15.96,0.07
282,12.73,4.47,3.58,17.97,15.99,0.07
283,13.72,5.35,3.86,18.03,16.48,0.08
284,13.37,3.91,3.55,17.52,16.39,0.07
285,13.21,5.30,3.47,17.74,16.17,0.07
286,18.08,5.44,3.64,40.38,40.43,0.15
287,17.98,5.42,3.75,46.09,50.21,0.20
288,14.44,5.32,4.41,21.05,17.39,0.16
289,12.76,5.09,5.37,18.66,17.89,0.09
290,14.35,5.89,4.52,19.86,18.03,0.09
291,14.37,5.88,4.24,23.93,16.78,0.08
292,14.13,6.49,4.12,22.02,19.45,0.09
293,15.73,6.67,4.19,21.41,19.54,0.09
294,15.72,6.07,4.24,21.22,20.54,0.15
295,15.99,6.81,4.04,21.50,19.99,0.09
296,14.66,5.93,4.00,18.15,17.63,0.07
297,14.56,4.88,4.00,19.11,18.43,0.09
298,14.51,6.41,4.04,21.25,19.68,0.10
299,15.09,6.67,4.27,21.46,19.79,0.09
300,14.69,6.03,4.80,28.90,21.90,0.17
301,14.61,7.27,4.34,26.25,22.74,0.16
302,15.59,6.16,4.25,34.02,33.02,0.14
303,16.45,6.89,4.36,34.73,32.90,0.18
304,15.72,6.98,4.59,23.76,22.28,0.09
305,16.20,6.58,4.59,24.02,20.85,0.09
306,16.43,6.93,5.75,26.64,22.96,0.11
307,20.24,7.49,5.40,25.98,24.85,0.14
308,19.69,7.80,5.64,23.86,21.87,0.10
309,17.15,7.29,4.98,23.79,21.58,0.09
310,17.23,8.05,5.03,24.13,22.57,0.10
311,18.15,6.90,5.51,25.51,24.74,0.14
312,18.24,8.09,5.87,28.55,26.72,0.13
313,18.88,7.48,5.53,29.29,28.20,0.20
314,17.31,8.21,6.32,26.72,25.21,0.13
315,18.79,8.21,5.13,27.21,25.71,0.13
316,18.45,8.15,5.17,28.34,26.36,0.12
317,18.96,7.37,5.63,27.47,25.01,0.10
318,24.99,6.95,5.15,52.06,51.83,0.23
319,24.82,8.21,5.04,53.69,52.12,0.20
320,18.63,7.59,5.84,26.70,24.96,0.10
321,18.12,8.46,5.54,26.92,25.55,0.13
322,19.32,7.57,5.34,27.93,25.89,0.14
323,19.08,6.94,5.60,30.26,28.13,0.18
324,20.17,8.94,5.73,30.76,28.25,0.13
325,19.74,8.49,5.15,28.96,26.91,0.25
326,21.86,8.54,6.58,27.46,30.03,0.14
327,23.91,9.05,7.23,30.48,28.62,0.15
